Source,Target,Weight
0,807,0.7322749070130685
0,620,0.7432907168287939
0,58,0.7311356830778892
1,915,0.7424797186524205
1,848,0.7429364415498412
1,598,0.7405479980765413
1,487,0.7463841796503541
1,440,0.731527147749325
1,404,0.7439601035522498
1,344,0.7428278890002264
1,284,0.7063906386704502
1,92,0.7070092165580513
1,86,0.7445631377814524
1,78,0.7220504289067432
2,284,0.733701580057892
2,92,0.7358241363781994
3,480,0.7432675434435565
3,284,0.7304454692785165
4,955,0.7168064042943962
4,952,0.7497897921995837
4,807,0.7277373114711565
4,674,0.7266949123134581
4,620,0.7355909314583242
4,612,0.7485016428201882
4,598,0.7242054452208064
4,588,0.7097064174315681
4,557,0.7377371846052732
4,545,0.7496400963569096
4,518,0.7464108639754372
4,487,0.717391166340951
4,480,0.7392860016429275
4,404,0.6864292343881481
4,351,0.7474785520389703
4,344,0.7195384572931516
4,284,0.6863422546134736
4,261,0.7399973232156312
4,234,0.7297930199992272
4,228,0.7495685336862093
4,223,0.7467892153854343
4,204,0.7482020285709203
4,179,0.7278420121043003
4,92,0.6759324252561171
4,87,0.738811357313427
4,78,0.7206670341737929
4,24,0.7474279953010998
5,994,0.7226340807734153
5,921,0.7287107942478067
5,854,0.7498523389723053
5,853,0.7413820980366294
5,763,0.7402751568460704
5,621,0.7451933828390638
5,500,0.7417063542413773
5,482,0.7353862114625944
5,481,0.7125999413766547
5,454,0.7465321194178095
5,440,0.7249575641295997
5,344,0.7245199996425771
5,298,0.748098226199757
5,271,0.7231659413587846
5,199,0.713502745442725
5,92,0.7358710406566975
5,78,0.6743708573429972
6,987,0.7289346507136494
6,986,0.7227345576697838
6,979,0.7420579340427879
6,960,0.73251545659096
6,957,0.6819465537252869
6,952,0.7468675613087474
6,946,0.7420159070058638
6,943,0.7429988618128824
6,942,0.7433956908804369
6,940,0.7306702930384397
6,939,0.7166462751981949
6,914,0.7362405709969644
6,911,0.7421963318823561
6,884,0.7426250669693026
6,883,0.7215838845478341
6,882,0.7389437875831494
6,867,0.705605561635885
6,863,0.7394562092043266
6,861,0.7384737585206599
6,858,0.7414629822059426
6,848,0.7176049652961143
6,831,0.7422394754163677
6,830,0.7262863622240477
6,822,0.6825588076971872
6,821,0.7242319778514564
6,811,0.7265769594866232
6,810,0.7436088513351272
6,802,0.7371553870577238
6,799,0.7481871688547952
6,783,0.7397350307005727
6,782,0.7476468344854161
6,767,0.7055089174605726
6,758,0.7237497705722589
6,757,0.7347264393242638
6,753,0.7421489329146929
6,735,0.7235946680810386
6,733,0.7234226207575626
6,719,0.6992369789468985
6,713,0.7385760207450609
6,703,0.6947805819844246
6,696,0.719301848567672
6,686,0.6675224313509082
6,683,0.743272407424675
6,665,0.7425467582113588
6,662,0.7450170612451466
6,655,0.6903570331722704
6,648,0.7253796697621749
6,643,0.7188060650778142
6,639,0.744604189015002
6,620,0.7307238839617499
6,619,0.7003888673826842
6,612,0.7250144571856024
6,594,0.7463447919109139
6,590,0.7333490495605339
6,588,0.7347876660703582
6,580,0.7295400893167514
6,578,0.7386150231741839
6,571,0.7311181398163519
6,553,0.6681024147167481
6,549,0.7345943103477722
6,531,0.7394829597828024
6,521,0.7321502655654443
6,500,0.7474895255263304
6,497,0.7386735676958599
6,480,0.7389115596885965
6,458,0.7366644365906961
6,444,0.7181954754759382
6,440,0.6986761380555495
6,439,0.6958594408236083
6,415,0.7114390288056305
6,414,0.7190710232265097
6,404,0.7375611869408384
6,387,0.7453577953842104
6,377,0.7480174991111885
6,353,0.7441697971610338
6,352,0.6982063797667535
6,348,0.742536227357207
6,347,0.6988048308297484
6,344,0.7021467303687954
6,341,0.7393029252937502
6,337,0.7381373033674845
6,327,0.7259397298307775
6,324,0.7212594678533097
6,312,0.7266956963209029
6,309,0.6784676995443178
6,308,0.7487468655125938
6,298,0.6921425486280098
6,294,0.7214752338326769
6,285,0.7468351803585616
6,284,0.739276780206471
6,282,0.6797378225187195
6,274,0.7125827874883038
6,271,0.7075132784117539
6,267,0.7336519379848043
6,261,0.742554774782105
6,246,0.7493572413736491
6,239,0.7211327983361193
6,225,0.7063766516277306
6,221,0.7002411911946211
6,219,0.7469973789988944
6,197,0.7447493856150346
6,194,0.7421433789871041
6,187,0.7053463382773988
6,183,0.7268318073290134
6,180,0.7166097302693224
6,167,0.7198537534513096
6,155,0.6845293760649878
6,146,0.7168397046429444
6,135,0.7445665537376299
6,103,0.7466058426342922
6,97,0.7398361026423775
6,92,0.7114306326420976
6,62,0.7468477605255562
6,61,0.7274769236897919
6,55,0.7132961048222645
6,41,0.7417190630412376
6,38,0.7360500366987375
6,35,0.7407450381801941
6,15,0.7039584069067253
6,8,0.7493014853743688
7,480,0.7253051599995193
7,404,0.7259922680485565
7,284,0.7151096137870955
7,179,0.7465253401450452
7,92,0.7159821021195688
7,78,0.733860257451487
8,994,0.7217625061178358
8,929,0.7356986832408037
8,924,0.7387722994580025
8,915,0.7257029627657294
8,826,0.7337630749954834
8,807,0.7343168930759603
8,801,0.7483200496601626
8,799,0.7229354480043982
8,778,0.7420614169875042
8,753,0.7256470110712046
8,715,0.7302871542509379
8,684,0.7423247536201436
8,625,0.7334714449914396
8,529,0.7227971985664292
8,481,0.73691171959339
8,480,0.724261736627353
8,468,0.7487000883698974
8,441,0.7435336024261975
8,403,0.7442288636519926
8,284,0.6953329231286138
8,283,0.7337485399041899
8,228,0.7188928998470473
8,179,0.7158572857923541
8,162,0.7480400849863348
8,134,0.7463456116478197
8,78,0.7018840348614999
9,994,0.7250009769692924
9,989,0.7442034598685785
9,980,0.7468212311503488
9,960,0.7210579960915633
9,955,0.6973435915014858
9,929,0.704965895942223
9,924,0.7438427564872069
9,921,0.7153350161972991
9,915,0.6863196173331498
9,907,0.7488736469556205
9,807,0.7126171956425181
9,799,0.7162233114428153
9,790,0.7416569116955651
9,789,0.7445948509645741
9,775,0.7393632112033895
9,763,0.7433407809021381
9,753,0.729296990812048
9,738,0.7301451529065784
9,732,0.7361584897719194
9,728,0.7423017059121877
9,682,0.701014556568192
9,660,0.7179574226752453
9,638,0.7276264651116127
9,599,0.7326950188861586
9,585,0.7278610273938372
9,542,0.7378477693677667
9,540,0.7408017853685721
9,527,0.7258292023298271
9,521,0.7020717021851323
9,515,0.7356176602685023
9,481,0.6705393680166842
9,480,0.7279655370332125
9,475,0.7306258363862961
9,456,0.7451315870254291
9,453,0.7484845148643634
9,440,0.7318979793878487
9,427,0.7264686754111656
9,424,0.7358711155174089
9,421,0.714060499499948
9,404,0.746641717843636
9,400,0.7465707390346675
9,396,0.7447749099068773
9,356,0.743988730482287
9,348,0.7426686260558045
9,328,0.7322307536260423
9,318,0.7430273886711732
9,284,0.6855587172810051
9,277,0.7330126399417971
9,249,0.747978816062282
9,204,0.7354271057057741
9,179,0.7326225670547549
9,175,0.7499573741764947
9,162,0.7174319974332292
9,160,0.7483129209424267
9,155,0.7474064520022564
9,135,0.7329432141886136
9,130,0.7008012463511347
9,119,0.7445687022823161
9,101,0.747132187897699
9,96,0.7147129067651814
9,92,0.741876649433109
9,81,0.7462140318232333
9,78,0.6744570357963615
9,58,0.7057842562283895
9,52,0.7406861948635954
9,32,0.747175086354035
9,24,0.7304473847718072
9,23,0.7331986730318202
9,22,0.7493329717989684
9,20,0.7244691173864372
10,994,0.7065192000455878
10,993,0.7474202655815385
10,980,0.7456286492102957
10,961,0.7088512225274838
10,955,0.714178853452232
10,927,0.7428127701619891
10,921,0.6969070852231704
10,915,0.7011690295672204
10,907,0.7212084014067569
10,893,0.7414691697932596
10,863,0.7165841176452739
10,854,0.7451697407518235
10,853,0.6987075383891427
10,826,0.7252419839203705
10,807,0.7431113652156106
10,794,0.7494204939505879
10,793,0.7441045513511853
10,783,0.714530214454134
10,761,0.7412949225591212
10,748,0.7320193996204405
10,738,0.7453982480395427
10,715,0.7358683070475007
10,687,0.7364664786146484
10,685,0.7420292552998968
10,684,0.6788479747390808
10,683,0.7466189047237113
10,682,0.695130953827346
10,674,0.7320377103095144
10,660,0.7209922617089314
10,640,0.7484278488235093
10,625,0.7403356853754028
10,612,0.731555879474676
10,602,0.7353358007408355
10,598,0.7259453100820286
10,585,0.7312173354735692
10,566,0.7496139500794363
10,562,0.7460180220868754
10,552,0.7428281308964
10,545,0.7294885561414796
10,538,0.7425331974099117
10,529,0.6861129451149255
10,527,0.7463057716835197
10,521,0.7042421722571688
10,500,0.736498294896016
10,487,0.7179407795928947
10,482,0.7179161624248279
10,481,0.6917527854109792
10,475,0.7194502765459045
10,421,0.7471033131850319
10,415,0.7178715902268383
10,414,0.7091308237232457
10,404,0.6948934564518395
10,398,0.7365723025425742
10,396,0.7460383410300084
10,348,0.6915276261606973
10,344,0.7321919778414763
10,333,0.7438082164914293
10,328,0.7277938168725477
10,318,0.7159048147345753
10,317,0.7437571863439519
10,307,0.7362835134454556
10,305,0.7433963641080468
10,284,0.6547227437761348
10,283,0.6795236377633906
10,281,0.749874871871831
10,279,0.7276331675973761
10,275,0.7444947533850126
10,228,0.7470619565440266
10,204,0.7437377338546729
10,203,0.7410294211237963
10,202,0.6575993930822588
10,199,0.716050564333614
10,195,0.7375806064762525
10,182,0.7456706681502198
10,179,0.6872739390427395
10,176,0.6965951684814624
10,159,0.7083706494132167
10,149,0.7290941957052489
10,141,0.7282771053276283
10,134,0.7276643059594773
10,130,0.7201056013969498
10,97,0.6973600596948241
10,92,0.7143812991450263
10,87,0.7446834050827581
10,78,0.7342797507497589
10,68,0.7242627652809951
10,59,0.7292848761847648
10,41,0.7172985310805917
10,31,0.6803737770180227
10,23,0.7499553863510954
10,20,0.7367855342953695
11,284,0.7418512846015839
11,92,0.7462163407176345
12,978,0.7437665450740628
12,753,0.7022832518626367
12,674,0.7410735692002173
12,588,0.7257054464422885
12,480,0.7066533737162499
12,404,0.7209655045694857
12,369,0.7482597675994163
12,341,0.7273240836835448
12,319,0.7416219197644099
12,284,0.682763787296077
12,234,0.7282734344867172
12,230,0.7495105252731278
12,223,0.7431408517676579
12,179,0.7153937614722976
12,92,0.6882838968239607
12,78,0.6883773511075946
13,955,0.7355258059162975
13,924,0.7302003353136756
13,921,0.7430419647053249
13,807,0.7234564047821512
13,799,0.7278455144926661
13,598,0.7445589066651143
13,538,0.7438236216130549
13,515,0.7434490959563848
13,480,0.7299928742491301
13,396,0.7146840520499396
13,202,0.7461009795270926
13,130,0.7295791391830666
13,58,0.7444279276128002
14,924,0.7254831877942203
14,914,0.7428378777655955
14,807,0.727509289165385
14,799,0.7259073891739969
14,619,0.7300577328803592
14,600,0.7480744022952283
14,481,0.7389053981794677
14,480,0.7435135390980107
14,199,0.7422046489772204
14,160,0.7438348572313702
14,135,0.7269361763944517
14,58,0.7231979208828192
15,993,0.7272636324414906
15,929,0.7190827023209057
15,915,0.7045375776735334
15,895,0.7477147285742378
15,881,0.70629441445036
15,857,0.7413466413220107
15,826,0.7328149398570583
