Source,Target,Weight
0,1886,0.5946184266343829
0,1418,0.5932905162050861
0,1291,0.5784058247056731
0,1233,0.5784750322551817
0,702,0.5796821833847969
0,698,0.5912755286864787
0,674,0.5908338089901215
1,1968,0.586217971250159
1,1907,0.5673622141962146
1,1854,0.5812729084477565
1,1793,0.5999387283276021
1,1755,0.5960281323535108
1,1703,0.5926366736820228
1,1582,0.5703542906690817
1,1469,0.5723382030208457
1,1416,0.599550950178645
1,1291,0.5752911131015029
1,1286,0.5981094123944697
1,1059,0.558635644875454
1,1021,0.5926660126609953
1,960,0.5999614093619536
1,922,0.5927885738279943
1,913,0.5593033806706955
1,876,0.5679151308571815
1,866,0.5973719443778149
1,821,0.5820239879001542
1,721,0.5532849494027705
1,698,0.558247650273279
1,688,0.5712465727657665
1,674,0.5525401675537753
1,622,0.5654790068139641
1,533,0.5726709470801989
1,513,0.5928292710218108
1,465,0.5980221147649873
1,453,0.570356277110404
1,355,0.5775064838946302
1,353,0.5753844767246569
1,284,0.5865433625252081
1,201,0.5652790632043713
1,91,0.5669197069197368
1,72,0.5795837778012972
1,54,0.5848399042795835
2,72,0.5998850493508436
3,1233,0.5992267113696191
4,1755,0.5804338426747562
4,1602,0.5869128193690452
4,1582,0.5743078737451055
4,821,0.5895358677192092
4,698,0.5723370248135977
4,688,0.5901337448564786
4,585,0.5966480208681797
4,533,0.5888988744728321
4,513,0.5798670359661784
4,453,0.5743104196161226
4,355,0.5974655856186942
4,201,0.5812238031898436
4,91,0.5825957906220669
6,1952,0.5787177693404216
6,1930,0.5782670908957185
6,1854,0.5855506453010477
6,1755,0.5941369009972811
6,1750,0.586976906333635
6,1732,0.590607603995647
6,1725,0.592319518838208
6,1724,0.572743148624195
6,1703,0.5968882707581762
6,1680,0.5944400886900786
6,1602,0.5772493311165265
6,1582,0.5639213561231008
6,1469,0.570772307598185
6,1434,0.5961139993852089
6,1366,0.5783347704326653
6,1347,0.5555706712022193
6,1291,0.5633228573233979
6,1286,0.5884189253363117
6,1146,0.5976743103726492
6,1059,0.5949838161655818
6,1021,0.5866323126231088
6,922,0.5926640717527415
6,914,0.5931448028067156
6,876,0.5957037955196555
6,821,0.5757814489903816
6,698,0.5515754794800396
6,674,0.5574210368782642
6,622,0.5697200868812534
6,598,0.5944294579111516
6,585,0.5752781226873149
6,533,0.567260609180719
6,513,0.5854801191539073
6,465,0.5901690325121705
6,453,0.5639263146707629
6,431,0.5753638736368922
6,355,0.5938036740500795
6,353,0.5797028081342037
6,345,0.5937589155492002
6,284,0.5867082275588623
6,201,0.5600067929926218
6,195,0.5872619370570574
6,115,0.5930245388068405
6,91,0.5622713856494375
6,72,0.5453835393711417
6,54,0.5868620089979713
9,1886,0.5958976468955093
9,1582,0.598495731187899
9,1418,0.5928329230106862
9,1347,0.5942821962303589
9,1303,0.5815718609525109
9,1291,0.5600301652498674
9,1233,0.577585815568559
9,702,0.5622312970936068
9,698,0.5953361530443921
9,453,0.5984999385311608
9,72,0.5932906250446798
10,1886,0.5880412017589872
10,1418,0.5876452578523673
10,1291,0.5863193578563506
10,1233,0.571273274770314
10,876,0.598638472754467
10,760,0.5991814880442253
10,674,0.5902824726809328
10,672,0.5862347051888264
12,1755,0.588148194126292
12,1582,0.5863293082455623
12,1347,0.5912972903781627
12,1322,0.5829957251499226
12,1303,0.5704176626837111
12,1291,0.5744716693291969
12,821,0.5983930432700687
12,702,0.5813114590241318
12,674,0.588969262148645
12,625,0.5984259775644827
12,453,0.5863340486410724
12,201,0.5850544515195418
13,1291,0.5802134183946713
13,1233,0.5849052624279215
13,702,0.585718444604044
13,585,0.5991756742603435
13,513,0.597869392670944
14,1886,0.5805844066648209
14,1732,0.5875044961127348
14,1582,0.5839863627263221
14,1418,0.5800183552113406
14,1347,0.5809579347898253
14,1291,0.5554945021894424
14,1286,0.5836472274647567
14,1233,0.563931171051582
14,876,0.5864986836476888
14,821,0.5972510645860959
14,760,0.5956147891381641
14,743,0.5985403709471997
14,698,0.5703314652965054
14,674,0.5671428469514825
14,672,0.5823235645919067
14,622,0.5792120497716493
14,585,0.5941983098695759
14,533,0.5883846426984066
14,513,0.590282088441483
14,465,0.5953418879026161
14,453,0.5839895975912813
14,353,0.5893362774641229
14,201,0.5840228718508923
14,91,0.5838850762695118
14,72,0.5699884840728688
14,54,0.5996091190531191
15,1886,0.5970004982839832
15,1418,0.5977252714830701
15,1291,0.5764019340250416
15,1233,0.5796322606963153
15,702,0.5785706149612423
15,698,0.5944060167760125
15,674,0.595174565008309
15,672,0.5986046908419675
15,72,0.5924987498826583
16,1291,0.5931881568281695
16,1233,0.5960078159804515
17,1291,0.5854650951772228
17,1233,0.5898651386341801
17,702,0.5912346919165021
18,1347,0.5994398770258835
18,1303,0.593808225076192
18,1291,0.5957515323713953
18,1233,0.5970308680474146
18,702,0.5770545476002318
18,698,0.5904895732304227
18,625,0.5954509089432727
18,72,0.5883257919893716
21,1907,0.5999839984221548
21,1886,0.5881674402694803
21,1418,0.5895807074648969
21,1303,0.5880024729701611
21,1291,0.5912052606873953
21,1233,0.5750389401770309
21,913,0.5994132141608954
21,760,0.5993946765425753
21,702,0.5640656843645095
21,688,0.5997000679837199
21,674,0.5828702324312717
21,672,0.5843134544600932
21,622,0.5959139859035624
22,1964,0.5926107152007466
22,1886,0.5640185832379203
22,1813,0.5806916076619382
22,1750,0.5887165486491124
22,1732,0.582830966651957
22,1715,0.5844393721410531
22,1582,0.5756549725493572
22,1418,0.5617032427343345
22,1303,0.5909266457872377
22,1291,0.5461566502386243
22,1233,0.5447947442400746
22,821,0.5905736010724307
22,760,0.5745357790038514
22,743,0.5822693942506141
22,672,0.5797257061485729
22,585,0.5721417509909958
22,513,0.5747812785584173
22,453,0.5756569238058332
22,431,0.592104439478141
23,1886,0.5784303620173162
23,1813,0.5947154587902793
23,1732,0.588874459219653
23,1582,0.584704229441438
23,1469,0.5948703452495461
23,1418,0.5746357506144059
23,1347,0.5904824754095209
23,1322,0.5876288441903639
23,1303,0.5822605055822706
23,1291,0.5479426003296327
23,1286,0.5786664085407656
23,1233,0.5573052358803865
23,1102,0.586428468567805
23,821,0.5952043133912611
23,760,0.5907178697779117
23,743,0.5945727407893826
23,709,0.5955828270291332
23,702,0.5478410760859947
23,698,0.5702620067843508
23,585,0.5883235103461364
23,533,0.5895946794399879
23,465,0.5929500550562901
23,453,0.5847098914291636
23,149,0.5983649770482393
23,91,0.5842769951156161
23,72,0.5689300604765003
27,1974,0.5949324019466958
27,1968,0.5443140455603438
27,1956,0.5648698241516149
27,1953,0.5873150523823528
27,1952,0.5658818638350647
27,1930,0.5523446554035263
